Date,Weekday,(GeV/Pass),Operation Status,Hall A Exp,Hall A Params,Hall B Exp,Hall B Params,Hall C Exp,Hall C Params,Hall D Exp,Hall D Params,Priority,Pass,Notes
,,(GeV/pass),Status,Experiment,GeV/mA/Pol/MHz,Experiment,GeV/nA/Pol/MHz,Experiment,GeV/mA/Pol/MHz,Experiment,GeV/nA/Pol/MHz,Hall,A/B/C/D,
06/01/2022,Wednesday,2.1,Restore,Install,,,,,,,,,,
06/02/2022,Thursday,2.1,Restore,Install,,,,,,,,,,
06/03/2022,Friday,2.1,Restore,Install,,,,Lockup,,,,,,
06/04/2022,Saturday,2.1,Restore,Install,,,,High Current Tests,,,,,,
06/05/2022,Sunday,2.1,Restore,Install,,,,High Current Tests,,,,,,
06/06/2022,Monday,2.1,Restore,Install,,,,High Current Tests,,,,,,
06/07/2022,Tuesday,2.1,Restore,Install,,,,High Current Tests,,,,,,
06/08/2022,Wednesday,2.1,Physics,Install,,Run Group C,2.2/200/p/500,E12-19-006,10.5/80/-/250,E12-13-008/A,11.7/60/-/250,B/C/D,-/1/5/5.5,
06/09/2022,Thursday,2.1,Physics,Install,,Run Group C,2.2/200/p/500,E12-19-006,10.5/80/-/250,E12-13-008/A,11.7/60/-/250,B/C/D,-/1/5/5.5,
06/10/2022,Friday,2.1,Physics,Install,,Run Group C,2.2/200/p/500,E12-19-006,10.5/80/-/250,E12-13-008/A,11.7/60/-/250,B/C/D,-/1/5/5.5,
06/11/2022,Saturday,2.1,Physics,Install,,Run Group C,2.2/200/p/500,E12-19-006,10.5/80/-/250,E12-13-008/A,11.7/60/-/250,C/D/B,-/1/5/5.5,
06/12/2022,Sunday,2.1,Physics,Install,,Run Group C,2.2/200/p/500,E12-19-006,10.5/80/-/250,E12-13-008/A,11.7/60/-/250,C/D/B,-/1/5/5.5,
06/13/2022,Monday,2.1,Physics,Install,,Pass change,,E12-19-006,10.5/80/-/250,E12-13-008/A,11.7/60/-/250,C/D/B,-/5/5/5.5,
06/14/2022,Tuesday,2.1,Physics,Install,,RUN GROUP C/FT_ON,10.5/200.0/p/250,E12-19-006,10.5/80/-/250,E12-13-008/A,11.7/60/-/250,D/B/C,-/5/5/5.5,
06/15/2022,Wednesday,2.1,Physics,Install,,RUN GROUP C/FT_ON,10.5/200.0/p/250,E12-19-006,10.5/80/-/250,E12-13-008/A,11.7/60/-/250,D/B/C,-/5/5/5.5,
06/16/2022,Thursday,2.1,Physics,Install,,RUN GROUP C/FT_ON,10.5/200.0/p/250,E12-19-006,10.5/80/-/250,E12-13-008/A,11.7/60/-/250,D/B/C,-/5/5/5.5,
06/17/2022,Friday,2.1,Physics,Install,,RUN GROUP C/FT_ON,10.5/200.0/p/250,E12-19-006,10.5/80/-/250,E12-13-008/A,11.7/60/-/250,B/C/D,-/5/5/5.5,
06/18/2022,Saturday,2.1,Physics,Install,,RUN GROUP C/FT_ON,10.5/200.0/p/250,E12-19-006,10.5/80/-/250,E12-13-008/A,11.7/60/-/250,B/C/D,-/5/5/5.5,
06/19/2022,Sunday,2.1,Physics,Install,,RUN GROUP C/FT_ON,10.5/200.0/p/250,E12-19-006,10.5/80/-/250,E12-13-008/A,11.7/60/-/250,B/C/D,-/5/5/5.5,
06/20/2022,Monday,2.1,Physics,Install,,RUN GROUP C/FT_ON,10.5/200.0/p/250,E12-19-006,10.5/80/-/250,E12-13-008/A,11.7/60/-/250,B/C/D,-/5/5/5.5,
06/21/2022,Tuesday,2.1,Physics,Install,,RUN GROUP C/FT_ON,10.5/200.0/p/250,E12-19-006,10.5/80/-/250,E12-13-008/A,11.7/60/-/250,B/C/D,-/5/5/5.5,
06/22/2022,Wednesday,2.1,Physics,Install,,RUN GROUP C/FT_ON,10.5/200.0/p/250,E12-19-006,10.5/80/-/250,E12-13-008/A,11.7/60/-/250,C/D/B,-/5/5/5.5,
06/23/2022,Thursday,2.1,Physics,Install,,RUN GROUP C/FT_ON,10.5/200.0/p/250,E12-19-006,10.5/80/-/250,E12-13-008/A,11.7/60/-/250,C/D/B,-/5/5/5.5,
06/24/2022,Friday,2.1,Physics,Install,,RUN GROUP C/FT_ON,10.5/200.0/p/250,E12-19-006,10.5/80/-/250,E12-13-008/A,11.7/60/-/250,C/D/B,-/5/5/5.5,
