Date,Weekday,,Operations,Hall A,Hall A,Hall B,Hall B,Hall C,Hall C,Hall D,Hall D,Priority,Pass,Notes
,,(GeV/pass),Status,Experiment,GeV/mA/Pol/MHz,Experiment,GeV/nA/Pol/MHz,Experiment,GeV/mA/Pol/MHz,Experiment,GeV/nA/Pol/MHz,Hall,A/B/C/D,
6/1/2022,Wednesday,2.1,Restore,Install,,,,,,,,,,
6/2/2022,Thursday,2.1,Restore,Install,,,,,,,,,,
6/3/2022,Friday,2.1,Restore,Install,,,,Lockup,,,,,,
6/4/2022,Saturday,2.1,Restore,Install,,,,High Current Tests,,,,,,
6/5/2022,Sunday,2.1,Restore,Install,,,,High Current Tests,,,,,,
6/6/2022,Monday,2.1,Restore,Install,,,,High Current Tests,,,,,,
6/7/2022,Tuesday,2.1,Restore,Install,,,,High Current Tests,,,,,,
6/8/2022,Wednesday,2.1,Physics,Install,,Run Group C,2.2/200/p/500,E12-19-006,10.5/80/-/250,E12-13-008/A,11.7/60/-/250,B/C/D,-/1/5/5.5,
6/9/2022,Thursday,2.1,Physics,Install,,Run Group C,2.2/200/p/500,E12-19-006,10.5/80/-/250,E12-13-008/A,11.7/60/-/250,B/C/D,-/1/5/5.5,
6/10/2022,Friday,2.1,Physics,Install,,Run Group C,2.2/200/p/500,E12-19-006,10.5/80/-/250,E12-13-008/A,11.7/60/-/250,B/C/D,-/1/5/5.5,
6/11/2022,Saturday,2.1,Physics,Install,,Run Group C,2.2/200/p/500,E12-19-006,10.5/80/-/250,E12-13-008/A,11.7/60/-/250,C/D/B,-/1/5/5.5,
6/12/2022,Sunday,2.1,Physics,Install,,Run Group C,2.2/200/p/500,E12-19-006,10.5/80/-/250,E12-13-008/A,11.7/60/-/250,C/D/B,-/1/5/5.5,
6/13/2022,Monday,2.1,Physics,Install,,Pass change,,E12-19-006,10.5/80/-/250,E12-13-008/A,11.7/60/-/250,C/D/B,-/5/5/5.5,
6/14/2022,Tuesday,2.1,Physics,Install,,Run Group C/FT_ON,10.5/200/p/250,E12-19-006,10.5/80/-/250,E12-13-008/A,11.7/60/-/250,D/B/C,-/5/5/5.5,
6/15/2022,Wednesday,2.1,Physics,Install,,Run Group C/FT_ON,10.5/200/p/250,E12-19-006,10.5/80/-/250,E12-13-008/A,11.7/60/-/250,D/B/C,-/5/5/5.5,
6/16/2022,Thursday,2.1,Physics,Install,,Run Group C/FT_ON,10.5/200/p/250,E12-19-006,10.5/80/-/250,E12-13-008/A,11.7/60/-/250,D/B/C,-/5/5/5.5,
6/17/2022,Friday,2.1,Physics,Install,,Run Group C/FT_ON,10.5/200/p/250,E12-19-006,10.5/80/-/250,E12-13-008/A,11.7/60/-/250,B/C/D,-/5/5/5.5,
6/18/2022,Saturday,2.1,Physics,Install,,Run Group C/FT_ON,10.5/200/p/250,E12-19-006,10.5/80/-/250,E12-13-008/A,11.7/60/-/250,B/C/D,-/5/5/5.5,
6/19/2022,Sunday,2.1,Physics,Install,,Run Group C/FT_ON,10.5/200/p/250,E12-19-006,10.5/80/-/250,E12-13-008/A,11.7/60/-/250,B/C/D,-/5/5/5.5,
6/20/2022,Monday,2.1,Physics,Install,,Run Group C/FT_ON,10.5/200/p/250,E12-19-006,10.5/80/-/250,E12-13-008/A,11.7/60/-/250,B/C/D,-/5/5/5.5,
6/21/2022,Tuesday,2.1,Physics,Install,,Run Group C/FT_ON,10.5/200/p/250,E12-19-006,10.5/80/-/250,E12-13-008/A,11.7/60/-/250,B/C/D,-/5/5/5.5,
6/22/2022,Wednesday,2.1,Physics,Install,,Run Group C/FT_ON,10.5/200/p/250,E12-19-006,10.5/80/-/250,E12-13-008/A,11.7/60/-/250,C/D/B,-/5/5/5.5,
6/23/2022,Thursday,2.1,Physics,Install,,Run Group C/FT_ON,10.5/200/p/250,E12-19-006,10.5/80/-/250,E12-13-008/A,11.7/60/-/250,C/D/B,-/5/5/5.5,
6/24/2022,Friday,2.1,Physics,Install,,Run Group C/FT_ON,10.5/200/p/250,E12-19-006,10.5/80/-/250,E12-13-008/A,11.7/60/-/250,C/D/B,-/5/5/5.5,
6/25/2022,Saturday,2.1,Physics,Install,,Run Group C/FT_ON,10.5/200/p/250,E12-19-006,10.5/80/-/250,E12-13-008/A,11.7/60/-/250,C/D/B,-/5/5/5.5,
6/26/2022,Sunday,2.1,Physics,Install,,Run Group C/FT_ON,10.5/200/p/250,E12-19-006,10.5/80/-/250,E12-13-008/A,11.7/60/-/250,C/D/B,-/5/5/5.5,
6/27/2022,Monday,2.1,Physics,Install,,Run Group C/FT_ON,10.5/200/p/250,E12-19-006,10.5/80/-/250,E12-13-008/A,11.7/60/-/250,D/B/C,-/5/5/5.5,
6/28/2022,Tuesday,2.1,Physics,Install,,Run Group C/FT_ON,10.5/200/p/250,E12-19-006,10.5/80/-/250,E12-13-008/A,11.7/60/-/250,D/B/C,-/5/5/5.5,
6/29/2022,Wednesday,2.1,Physics,Install,,Run Group C/FT_ON,10.5/200/p/250,E12-19-006,10.5/80/-/250,E12-13-008/A,11.7/60/-/250,D/B/C,-/5/5/5.5,
6/30/2022,Thursday,2.1,Physics,Install,,Run Group C/FT_ON,10.5/200/p/250,E12-19-006,10.5/80/-/250,E12-13-008/A,11.7/60/-/250,D/B/C,-/5/5/5.5,
7/1/2022,Friday,2.1,Physics,Install,,Run Group C/FT_ON,10.5/200/p/250,E12-19-006,10.5/80/-/250,E12-13-008/A,11.7/60/-/250,D/B/C,-/5/5/5.5,
7/2/2022,Saturday,2.1,Physics,Install,,Run Group C/FT_ON,10.5/200/p/250,E12-19-006,10.5/80/-/250,E12-13-008/A,11.7/60/-/250,B/C/D,-/5/5/5.5,
7/3/2022,Sunday,2.1,Physics,Install,,Run Group C/FT_ON,10.5/200/p/250,E12-19-006,10.5/80/-/250,E12-13-008/A,11.7/60/-/250,B/C/D,-/5/5/5.5,
7/4/2022,Monday,2.1,Physics,Install,,Run Group C/FT_ON,10.5/200/p/250,E12-19-006,10.5/80/-/250,E12-13-008/A,11.7/60/-/250,B/C/D,-/5/5/5.5,
7/5/2022,Tuesday,2.1,Physics,Install,,Run Group C/FT_ON,10.5/200/p/250,E12-19-006,10.5/80/-/250,E12-13-008/A,11.7/60/-/250,B/C/D,-/5/5/5.5,
7/6/2022,Wednesday,2.1,Physics,Install,,Run Group C/FT_ON,10.5/200/p/250,E12-19-006,10.5/80/-/250,E12-13-008/A,11.7/60/-/250,B/C/D,-/5/5/5.5,
7/7/2022,Thursday,2.1,Physics,Install,,Run Group C/FT_ON,10.5/200/p/250,E12-19-006,10.5/80/-/250,E12-13-008/A,11.7/60/-/250,B/C/D,-/5/5/5.5,
7/8/2022,Friday,2.1,Physics,Install,,Run Group C/FT_ON,10.5/200/p/250,E12-19-006,10.5/80/-/250,E12-13-008/A,11.7/60/-/250,C/D/B,-/5/5/5.5,
7/9/2022,Saturday,2.1,Physics,Install,,Run Group C/FT_ON,10.5/200/p/250,E12-19-006,10.5/80/-/250,E12-13-008/A,11.7/60/-/250,C/D/B,-/5/5/5.5,
7/10/2022,Sunday,2.1,Physics,Install,,Run Group C/FT_ON,10.5/200/p/250,E12-19-006,10.5/80/-/250,E12-13-008/A,11.7/60/-/250,C/D/B,-/5/5/5.5,
7/11/2022,Monday,2.1,Physics,Install,,Run Group C/FT_ON,10.5/200/p/250,E12-19-006,10.5/80/-/250,E12-13-008/A,11.7/60/-/250,C/D/B,-/5/5/5.5,
7/12/2022,Tuesday,2.1,Physics,Install,,Run Group C/FT_ON,10.5/200/p/250,E12-19-006,10.5/80/-/250,E12-13-008/A,11.7/60/-/250,C/D/B,-/5/5/5.5,
7/13/2022,Wednesday,2.1,Physics,Install,,Run Group C/FT_ON,10.5/200/p/250,E12-19-006,10.5/80/-/250,E12-13-008/A,11.7/60/-/250,C/D/B,-/5/5/5.5,
7/14/2022,Thursday,2.1,Physics,Install,,Run Group C/FT_ON,10.5/200/p/250,E12-19-006,10.5/80/-/250,E12-13-008/A,11.7/60/-/250,C/D/B,-/5/5/5.5,
7/15/2022,Friday,2.1,Physics,Install,,Run Group C/FT_ON,10.5/200/p/250,E12-19-006,10.5/80/-/250,E12-13-008/A,11.7/60/-/250,C/D/B,-/5/5/5.5,
7/16/2022,Saturday,2.1,Physics,Install,,Run Group C/FT_ON,10.5/200/p/250,E12-19-006,10.5/80/-/250,E12-13-008/A,11.7/60/-/250,C/D/B,-/5/5/5.5,
7/17/2022,Sunday,2.1,Physics,Install,,Run Group C/FT_ON,10.5/200/p/250,E12-19-006,10.5/80/-/250,E12-13-008/A,11.7/60/-/250,C/D/B,-/5/5/5.5,
7/18/2022,Monday,2.1,Physics,Install,,Run Group C/FT_ON,10.5/200/p/250,E12-19-006,10.5/80/-/250,E12-13-008/A,11.7/60/-/250,C/D/B,-/5/5/5.5,
7/19/2022,Tuesday,2.1,Physics,Install,,Run Group C/FT_ON,10.5/200/p/250,E12-19-006,10.5/80/-/250,E12-13-008/A,11.7/60/-/250,C/D/B,-/5/5/5.5,Today
7/20/2022,Wednesday,2.1,Physics,Install,,Run Group C/FT_ON,10.5/200/p/250,E12-19-006,10.5/80/-/250,E12-13-008/A,11.7/60/-/250,C/D/B,-/5/5/5.5,
7/21/2022,Thursday,2.1,Physics,Install,,Run Group C/FT_ON,10.5/200/p/250,E12-19-006,10.5/80/-/250,E12-13-008/A,11.7/60/-/250,C/D/B,-/5/5/5.5,
